command,mean,stddev,median,user,system,min,max
python /workspace/src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.5798502845,0.02008656126080594,0.5740467761,0.57375004,0.0056757000000000005,0.5575369851,0.6221033171
python /workspace/src/0_plain/lib.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.10519628086,0.00759020209350013,0.10499178778000001,0.0996762,0.005255499999999999,0.09641041278000001,0.13650766178
python /workspace/src/0_plain/plain.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.56398620924,0.00815242231963727,0.5617717180400001,0.5581295,0.005736900000000001,0.5542207585400001,0.57656634254
python /workspace/src/1_multiprocessing/imap_unordered.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.22693542322909088,0.0076430728651372135,0.22539023032,0.5404823454545454,0.1749419672727273,0.22045906332,0.24825756331999999
python /workspace/src/1_multiprocessing/imap.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.22374569876000003,0.003366991251700486,0.22397377476000002,0.5275452700000001,0.16758619333333333,0.21715735876000003,0.23051452476
python /workspace/src/1_multiprocessing/map_async.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.44260496342,0.00966503063033235,0.43949321352000004,0.9828409600000001,0.12239866000000002,0.43270004702000003,0.46425758902
python /workspace/src/1_multiprocessing/map.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.4390039446199999,0.0051230941008447925,0.43870806122,0.98425432,0.11119607999999999,0.43236849872,0.45068270672
PYTHON_GIL=1 python /workspace/src/2_multithreading/executor.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.3655297416,0.0050385785169815836,0.3641237999,0.35682297999999996,0.00803506,0.3615652999,0.3794230499
PYTHON_GIL=0 python /workspace/src/2_multithreading/executor.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.19615110728285717,0.009392985187740795,0.19392214014,0.40450366857142855,0.008403362857142858,0.18757157814,0.22587357814
PYTHON_GIL=1 python /workspace/src/2_multithreading/workers.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.1348437329552381,0.006060700685264997,0.13364867986,0.12095634285714289,0.00933255142857143,0.13023197086,0.15971817886
PYTHON_GIL=0 python /workspace/src/2_multithreading/workers.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,0.16929721679999998,0.010874000206309754,0.17295620820000002,0.17513477,0.021938080000000002,0.1402117507,0.18066633370000001
