command,mean,stddev,median,user,system,min,max
plain: itertools.py,0.5674692401200001,0.01198827824756599,0.57006548532,0.55990282,0.0074184,0.5496379653200001,0.5865690483200001
plain: lib.py,0.10036984857259255,0.002601799874962498,0.09955924698,0.09509880296296297,0.005150482962962963,0.09760924698000001,0.10862874698000001
plain: plain.py,0.56311819686,0.008546263909006254,0.5607432801600001,0.5574100199999998,0.005616299999999999,0.55641523866,0.58636586266
multiprocessing: imap_unordered.py,0.22580185960615384,0.008596599653744735,0.22358803876,0.5456729907692307,0.16619102307692304,0.21843099776,0.24496916376
multiprocessing: imap.py,0.23283159617000002,0.006563159786685698,0.23060927992000002,0.5554529199999999,0.16251065,0.22356723842,0.24263732142000002
multiprocessing: map_async.py,0.45283322936000003,0.02485797469878736,0.44856494596,1.0100399599999998,0.1108107,0.43147434096000004,0.51678821696
multiprocessing: map.py,0.44007464079999997,0.004331471810503806,0.4405771448,0.98536284,0.10843393999999999,0.4329375193,0.4467715203
multithreading: GIL=1 executor.py,0.36965916640000007,0.010379827255109443,0.3658508374,0.35979243999999994,0.009223819999999999,0.36210054540000003,0.3968615454
multithreading: GIL=0 executor.py,0.21027037247846156,0.010426702772034552,0.21210451994,0.4389796446153846,0.010509364615384615,0.19627872794,0.23218535394000003
multithreading: GIL=1 workers.py,0.13046479691,0.007172575609842329,0.12926548436000002,0.11783973,0.008177489999999999,0.12422606786000001,0.15823290086
multithreading: GIL=0 workers.py,0.16773493366000006,0.007683925116868945,0.16856328266000004,0.193100225,0.020285272499999996,0.14299638666000003,0.17602834466000003
ctypes: invoke_hashcat.py,0.09349466670000002,0.0031415585053035443,0.0929726247,0.08824959857142858,0.004916421428571427,0.0891826667,0.0996272077
ctypes: invoke_hashcat.py (openmp),0.10213379513846156,0.005637809432670206,0.1003630886,0.09869431076923077,0.008382755384615385,0.09760121360000001,0.1269725466
cpython: invoke_hashcat.py,0.10060564948857142,0.004357923062152972,0.09976227606,0.09504387999999998,0.005231015714285715,0.09432969256,0.10817944256
