gil,command,run,cycles,instructions,task-clock,time_elapsed,user_time,sys_time
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1,1112328462,3396832059,257.07,0.242304599,0.257931000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,2,1122351912,3423351407,258.77,0.243392692,0.259102000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,3,1108581185,3423939428,258.84,0.243497270,0.259248000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,4,1121297559,3404980708,260.56,0.245396865,0.260947000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,5,1121000088,3397302411,257.10,0.241865714,0.257407000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,6,1125599244,3423337652,263.56,0.248045256,0.264045000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,7,1118833897,3423716318,259.31,0.244013954,0.259556000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,8,1107500066,3396740945,262.92,0.247588863,0.263310000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,9,1119114619,3396985212,262.62,0.247109446,0.262998000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,10,1122558575,3396945144,261.09,0.245727435,0.261481000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,11,1135334703,3397255318,266.52,0.250858175,0.266869000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,12,1135000880,3405196564,262.88,0.247343970,0.263243000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,13,1104903001,3396941850,259.54,0.244091152,0.259894000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,14,1106950592,3397159920,256.64,0.241512716,0.257023000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,15,1101442625,3396956995,256.43,0.241201826,0.256794000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,16,1114185551,3396863765,258.79,0.243434843,0.259127000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,17,1106154123,3396970474,259.10,0.243845470,0.259568000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,18,1126267512,3396830375,266.11,0.248429874,0.266431000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,19,1142470572,3423575295,270.20,0.252095882,0.270610000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,20,1138346277,3423252572,263.90,0.246124464,0.264261000,0.000000000
